Problem,Num_Solutions,Novelty,Success_Rate,Num_Evaluated
01_1LDB,10,0.398,11.00,100
02_1ITU,6,0.415,14.00,100
03_2CGA,0,0.000,0.00,100
04_5WN9,4,0.355,4.00,100
05_5ZE9,30,0.379,65.00,100
06_6E6R,2,0.3,2.00,100
07_6E6R,15,0.332,18.00,100
08_7AD5,0,0.000,0.00,100
09_7CG5,48,0.336,85.00,100
10_7WRK,11,0.39,15.00,100
11_3TQB,5,0.387,71.00,100
12_4JHW,1,0.477,1.00,100
13_4JHW,2,0.29,2.00,100
14_5IUS,0,0.000,0.00,100
15_7A8S,3,0.406,9.00,100
16_7BNY,2,0.47,4.00,100
17_7DGW,2,0.189,43.00,100
18_7MQQ,2,0.428,2.00,100
19_7MQQ,6,0.237,6.00,100
20_7UWL,0,0.000,0.00,100
21_1B73,14,0.395,14.00,100
22_1BCF,1,0.189,100.00,100
23_1MPY,5,0.43,25.00,100
24_1QY3,6,0.416,17.00,100
25_2RKX,2,0.296,39.00,100
26_3B5V,1,0.217,52.00,100
27_4XOJ,16,0.388,23.00,100
28_5YUI,9,0.394,25.00,100
29_6CPA,7,0.372,7.00,100
30_7UWL,0,0.000,0.00,100
